student_id,year_of_study,major,study_hours_per_day,study_schedule,study_environment,gpa,avg_sleep_hours,sleep_quality,focus_level,productivity_level,stress_level,stress_factors,frequency_of_overwhelm,social_media_hours,social_media_impact,extracurricular_participation,extracurricular_hours,career_preparedness,internship_experience,job_confidence,part_time_job,work_hours_per_week,financial_stress
44,5,SOD,1-2,Daily study routine,Noisy,5.27,6-7,Fair,8,3,7,Finance,Often,3-4,Negative,Yes,<1,Somewhat,No,4,No,NA,No
45,2,SOCS,3-4,Weekdays only,Noisy,8.88,6-7,Fair,9,3,7,Finance,Always,<1,Positive,Yes,1-3,Somewhat,No,9,Yes,NA,No
46,3,SOAE,5-6,Daily study routine,No dedicated space,8.67,6-7,Excellent,8,6,6,Time Management,Sometimes,3-4,No effect,No,<1,Fully,No,8,No,NA,No
47,2,SOCS,5-6,Daily study routine,Quiet,6.0,4-5,Poor,4,7,4,Finance,Always,1-2,Negative,Yes,4-6,Somewhat,No,4,No,NA,No
48,3,SOB,3-4,Sporadic,No dedicated space,6.16,6-7,Good,9,6,7,Personal,Sometimes,4+,Negative,Yes,1-3,Not at all,No,4,No,NA,No
49,3,SOHST,3-4,Weekends only,Quiet,6.71,6-7,Poor,5,4,4,Finance,Sometimes,1-2,Positive,Yes,<1,Fully,No,7,No,NA,No
50,1,SOCS,5-6,Weekdays only,Noisy,10.0,4-5,Poor,7,6,7,Finance,Always,<1,Maybe,Yes,1-3,Somewhat,Yes,9,No,NA,No
51,5,SOD,3-4,Weekdays only,Quiet,9.5,8+,Poor,4,3,9,Academics,Sometimes,1-2,Negative,Yes,1-3,Somewhat,No,9,No,NA,No
52,4,SOHST,1-2,Weekdays only,Noisy,8.49,<4,Fair,5,6,3,Academics,Always,1-2,Positive,No,<1,Somewhat,No,8,Yes,NA,No
53,5,SOLS,5-6,Daily study routine,Quiet,8.85,6-7,Good,5,5,5,Time Management,Often,<1,Negative,Yes,1-3,Somewhat,No,6,No,NA,No
54,4,SOL,1-2,Weekdays only,No dedicated space,7.869999999999999,4-5,Poor,9,8,9,Finance,Always,1-2,Negative,Yes,<1,Somewhat,No,7,No,NA,No
55,3,SOCS,3-4,Daily study routine,Quiet,5.79,6-7,Good,6,4,8,Finance,Often,1-2,Negative,Yes,<1,Not at all,No,9,No,NA,No
56,5,SOD,1-2,Daily study routine,Quiet,6.51,6-7,Excellent,6,6,3,Time Management,Sometimes,3-4,No effect,Yes,<1,Fully,Yes,4,No,NA,No
57,1,SOHST,1-2,Weekdays only,Noisy,7.18,6-7,Good,4,3,8,Finance,Sometimes,<1,Negative,Yes,<1,Somewhat,Yes,9,No,NA,Yes
58,1,SOD,1-2,Weekends only,Noisy,4.89,<4,Fair,6,9,7,Finance,Often,1-2,Maybe,Yes,<1,Fully,No,6,No,NA,No
59,1,SOLS,5-6,Weekdays only,Noisy,8.809999999999999,6-7,Good,5,8,5,Personal,Sometimes,<1,Positive,No,1-3,Somewhat,Yes,5,No,NA,Yes
60,2,SOB,1-2,Weekends only,Quiet,9.0,6-7,Good,6,4,5,Personal,Always,3-4,Positive,Yes,1-3,Somewhat,No,5,No,NA,Yes
61,2,SOD,1-2,Weekdays only,Noisy,7.34,6-7,Poor,8,3,7,Academics,Sometimes,<1,Positive,Yes,1-3,Somewhat,No,9,No,NA,Yes
62,2,SOHST,1-2,Daily study routine,Quiet,7.880000000000001,6-7,Good,6,7,7,Academics,Often,4+,Negative,Yes,1-3,Fully,No,9,No,NA,No
63,4,SOD,3-4,Weekdays only,Quiet,5.0,6-7,Poor,5,5,4,Academics,Always,3-4,Negative,Yes,4-6,Somewhat,Yes,7,No,NA,No
64,2,SOD,More than 6 hours,Sporadic,Quiet,10.0,6-7,Fair,9,7,7,Academics,Always,1-2,No effect,No,1-3,Somewhat,No,9,No,NA,No
65,2,SOD,3-4,Weekends only,Noisy,7.22,4-5,Good,4,5,6,Finance,Always,1-2,No effect,Yes,1-3,Somewhat,No,6,No,NA,No
66,3,SOAE,3-4,Daily study routine,Noisy,6.35,6-7,Poor,7,6,7,Academics,Sometimes,<1,Negative,No,<1,Somewhat,No,9,No,NA,No
67,1,SOAE,5-6,Daily study routine,No dedicated space,8.24,4-5,Fair,6,4,6,Academics,Sometimes,1-2,Maybe,Yes,4-6,Somewhat,No,8,No,NA,No
68,4,SOB,3-4,Daily study routine,Quiet,5.27,8+,Excellent,5,6,7,Academics,Always,3-4,Positive,No,<1,Not at all,Yes,6,No,NA,No
69,1,SOCS,1-2,Daily study routine,Quiet,8.07,6-7,Good,7,5,4,Academics,Sometimes,4+,No effect,Yes,<1,Somewhat,No,7,Yes,NA,No
70,5,SOD,1-2,Daily study routine,Noisy,6.0,8+,Fair,7,5,6,Finance,Sometimes,<1,Negative,No,1-3,Somewhat,No,8,Yes,NA,No
71,4,SOLS,1-2,Daily study routine,No dedicated space,5.39,4-5,Good,8,5,3,Time Management,Sometimes,1-2,Negative,Yes,<1,Not at all,No,8,No,NA,No
72,1,SOCS,1-2,Daily study routine,Quiet,6.25,8+,Fair,7,8,6,Personal,Often,3-4,No effect,Yes,<1,Fully,No,5,No,NA,No
73,1,SOLS,3-4,Daily study routine,Quiet,9.18,6-7,Poor,9,3,9,Academics,Often,3-4,Negative,No,1-3,Fully,No,6,Yes,NA,No
74,4,SOCS,5-6,Weekdays only,No dedicated space,8.7,6-7,Excellent,5,4,4,Academics,Rarely,<1,Positive,No,1-3,Somewhat,Yes,8,No,NA,No
75,4,SOB,1-2,Weekends only,Noisy,4.39,6-7,Good,5,6,8,Academics,Sometimes,1-2,Negative,Yes,1-3,Somewhat,Yes,7,Yes,NA,Yes
76,4,SOD,3-4,Daily study routine,Quiet,8.2,4-5,Fair,6,6,6,Finance,Often,1-2,Negative,Yes,4-6,Not at all,No,5,No,NA,No
77,4,SOD,3-4,Daily study routine,Quiet,6.11,6-7,Poor,6,7,9,Academics,Always,3-4,No effect,Yes,<1,Not at all,No,8,No,NA,No
78,1,SOL,1-2,Daily study routine,Noisy,4.0,6-7,Poor,6,5,9,Finance,Often,1-2,Negative,No,<1,Somewhat,Yes,6,Yes,NA,Yes
79,2,SOLS,5-6,Daily study routine,No dedicated space,10.0,<4,Poor,9,9,9,Academics,Sometimes,1-2,Maybe,Yes,1-3,Somewhat,No,5,No,NA,No
80,1,SOCS,3-4,Sporadic,Quiet,8.19,4-5,Fair,7,5,7,Personal,Sometimes,4+,Negative,Yes,<1,Somewhat,No,6,Yes,NA,Yes
81,4,SOCS,1-2,Weekdays only,Quiet,6.38,8+,Poor,7,5,9,Academics,Always,3-4,Negative,No,1-3,Somewhat,No,6,No,NA,No
82,3,SOAE,3-4,Weekends only,Noisy,6.98,8+,Good,8,9,7,Academics,Sometimes,3-4,No effect,No,<1,Somewhat,No,6,No,NA,No
83,2,SOL,3-4,Weekends only,Noisy,9.6,8+,Good,9,6,8,Personal,Sometimes,1-2,Negative,No,1-3,Somewhat,No,5,Yes,NA,No
84,1,SOHST,3-4,Daily study routine,Quiet,10.0,6-7,Good,6,7,4,Academics,Sometimes,<1,Maybe,No,1-3,Somewhat,No,8,No,NA,No
85,2,SOHST,3-4,Daily study routine,Quiet,8.17,4-5,Excellent,4,3,5,Academics,Sometimes,4+,Negative,No,1-3,Fully,No,9,No,NA,Yes
86,2,SOAE,3-4,Weekdays only,Noisy,5.96,4-5,Good,8,9,7,Finance,Sometimes,1-2,Negative,Yes,1-3,Somewhat,No,4,Yes,NA,No
87,4,SOAE,5-6,Daily study routine,Quiet,8.27,4-5,Poor,4,8,9,Finance,Often,<1,Positive,Yes,1-3,Fully,No,8,No,NA,Yes
88,3,SOAE,1-2,Weekends only,Quiet,7.15,<4,Poor,7,4,9,Personal,Sometimes,1-2,Negative,No,<1,Not at all,Yes,5,No,NA,No
89,4,SOLS,1-2,Daily study routine,Noisy,4.0,4-5,Fair,8,9,3,Academics,Always,<1,Positive,Yes,<1,Fully,Yes,4,No,NA,No
90,2,SOLS,1-2,Daily study routine,Quiet,7.0,4-5,Poor,8,3,9,Academics,Always,1-2,No effect,No,<1,Not at all,No,4,No,NA,No
91,1,SOB,5-6,Weekends only,Noisy,9.15,6-7,Good,5,6,4,Academics,Often,3-4,Positive,Yes,1-3,Somewhat,No,4,No,NA,No
92,4,SOB,1-2,Daily study routine,No dedicated space,8.49,8+,Good,7,8,6,Academics,Always,4+,Positive,Yes,<1,Somewhat,No,9,No,NA,No
93,4,SOAE,5-6,Weekends only,Quiet,10.0,6-7,Fair,7,8,6,Time Management,Often,4+,Positive,No,1-3,Somewhat,No,7,No,NA,No
94,3,SOL,3-4,Weekdays only,Noisy,7.67,8+,Poor,9,8,9,Personal,Always,<1,Positive,No,<1,Somewhat,No,5,No,NA,No
95,4,SOCS,5-6,Weekends only,Quiet,10.0,6-7,Good,8,5,3,Academics,Sometimes,1-2,Negative,Yes,1-3,Somewhat,No,9,No,NA,Yes
96,2,SOLS,More than 6 hours,Weekdays only,Quiet,10.0,4-5,Fair,7,4,7,Finance,Always,<1,No effect,No,4-6,Somewhat,No,9,No,NA,No
97,3,SOL,5-6,Weekends only,Quiet,8.54,4-5,Poor,8,6,4,Academics,Sometimes,3-4,No effect,No,<1,Somewhat,No,7,No,NA,Yes
98,2,SOD,5-6,Daily study routine,Quiet,9.13,<4,Fair,9,6,3,Time Management,Always,1-2,No effect,Yes,<1,Somewhat,Yes,4,No,NA,Yes
99,1,SOLS,3-4,Daily study routine,Quiet,5.0,4-5,Poor,9,8,7,Academics,Rarely,3-4,No effect,Yes,<1,Somewhat,No,7,No,NA,Yes
100,1,SOLS,3-4,Daily study routine,Noisy,5.32,6-7,Excellent,5,6,4,Academics,Sometimes,3-4,Positive,No,1-3,Fully,No,7,No,NA,No
101,1,SOB,1-2,Weekdays only,Noisy,5.24,<4,Poor,8,4,9,Finance,Always,1-2,No effect,No,1-3,Somewhat,No,9,No,NA,No
102,3,SOCS,1-2,Daily study routine,Noisy,5.83,4-5,Fair,7,4,6,Finance,Sometimes,1-2,Positive,Yes,<1,Not at all,No,5,No,NA,No
103,2,SOCS,3-4,Weekdays only,Quiet,5.86,4-5,Fair,7,7,4,Finance,Sometimes,4+,Negative,No,1-3,Fully,No,6,Yes,NA,No
104,3,SOHST,3-4,Weekends only,No dedicated space,7.45,8+,Poor,8,9,9,Academics,Sometimes,4+,Negative,No,<1,Somewhat,No,7,No,NA,Yes
105,5,SOHST,1-2,Sporadic,Quiet,5.88,6-7,Poor,8,9,8,Academics,Sometimes,1-2,Positive,Yes,1-3,Somewhat,No,7,No,NA,No
106,1,SOHST,3-4,Weekdays only,Noisy,9.11,6-7,Poor,8,7,5,Academics,Sometimes,1-2,No effect,No,1-3,Somewhat,Yes,4,No,NA,No
107,2,SOHST,5-6,Daily study routine,Quiet,7.79,4-5,Poor,6,3,4,Academics,Sometimes,4+,Negative,Yes,1-3,Fully,No,4,No,NA,Yes
108,4,SOD,3-4,Daily study routine,No dedicated space,5.0,6-7,Poor,7,9,5,Time Management,Often,<1,No effect,Yes,<1,Somewhat,Yes,9,No,NA,No
109,1,SOD,3-4,Weekends only,Quiet,7.69,6-7,Fair,9,4,4,Academics,Always,1-2,Negative,No,4-6,Fully,No,4,No,NA,No
110,1,SOLS,5-6,Weekdays only,No dedicated space,8.48,6-7,Good,7,4,5,Academics,Sometimes,<1,Positive,No,1-3,Fully,Yes,8,No,NA,No
111,2,SOAE,More than 6 hours,Weekdays only,Noisy,7.71,8+,Fair,6,9,8,Finance,Often,1-2,No effect,No,<1,Somewhat,No,7,No,NA,No
112,1,SOB,3-4,Sporadic,Noisy,7.64,4-5,Poor,8,4,6,Academics,Often,<1,Positive,Yes,<1,Somewhat,Yes,4,No,NA,No
113,5,SOB,5-6,Weekends only,No dedicated space,6.89,8+,Good,5,7,7,Finance,Always,1-2,Negative,Yes,1-3,Not at all,Yes,5,Yes,NA,No
114,4,SOHST,More than 6 hours,Weekdays only,Quiet,9.49,8+,Fair,8,8,5,Personal,Often,1-2,Positive,Yes,4-6,Fully,No,8,No,NA,Yes
115,3,SOLS,5-6,Weekends only,Quiet,10.0,<4,Fair,8,8,8,Academics,Rarely,1-2,Negative,Yes,4-6,Somewhat,No,9,No,NA,No
116,4,SOL,1-2,Daily study routine,Quiet,4.0,6-7,Fair,6,6,5,Time Management,Often,4+,Negative,Yes,1-3,Fully,Yes,6,No,NA,Yes
117,4,SOAE,3-4,Weekdays only,No dedicated space,6.73,8+,Excellent,7,8,6,Finance,Often,3-4,Negative,Yes,4-6,Somewhat,No,7,No,NA,No
118,1,SOLS,1-2,Weekends only,Quiet,5.49,4-5,Poor,8,5,5,Academics,Sometimes,3-4,Maybe,Yes,<1,Not at all,No,7,No,NA,No
119,4,SOAE,1-2,Daily study routine,Quiet,5.85,6-7,Good,7,7,8,Academics,Sometimes,3-4,No effect,No,<1,Not at all,No,5,No,NA,No
120,3,SOAE,3-4,Sporadic,Quiet,9.03,8+,Poor,4,4,9,Academics,Often,<1,No effect,Yes,4-6,Fully,Yes,6,No,NA,No
121,4,SOAE,3-4,Weekdays only,Quiet,8.31,6-7,Poor,9,9,8,Personal,Often,1-2,No effect,Yes,1-3,Somewhat,No,6,No,NA,No
122,4,SOLS,5-6,Weekends only,Quiet,9.77,4-5,Excellent,7,8,3,Personal,Rarely,4+,Positive,Yes,1-3,Somewhat,Yes,9,No,NA,No
123,2,SOHST,1-2,Weekends only,No dedicated space,6.55,6-7,Fair,5,7,6,Personal,Sometimes,1-2,Negative,Yes,1-3,Fully,No,9,No,NA,No
124,1,SOB,5-6,Daily study routine,No dedicated space,6.52,4-5,Poor,9,8,9,Time Management,Always,<1,Positive,Yes,6+,Fully,Yes,8,No,NA,No
125,1,SOB,3-4,Weekends only,No dedicated space,5.83,6-7,Good,5,3,3,Personal,Always,3-4,Positive,Yes,1-3,Not at all,No,7,No,NA,No
126,2,SOHST,3-4,Daily study routine,Noisy,8.62,<4,Good,8,4,6,Finance,Often,1-2,Maybe,No,4-6,Not at all,Yes,4,No,NA,Yes
127,4,SOAE,5-6,Daily study routine,Quiet,8.76,6-7,Poor,9,3,9,Academics,Often,1-2,Negative,Yes,1-3,Not at all,No,9,No,NA,No
128,4,SOL,3-4,Daily study routine,Quiet,9.39,6-7,Poor,7,4,5,Finance,Often,4+,Negative,No,<1,Somewhat,No,5,No,NA,No
129,1,SOCS,1-2,Weekends only,Quiet,6.94,6-7,Poor,9,7,9,Academics,Sometimes,3-4,Positive,No,4-6,Somewhat,Yes,5,No,NA,Yes
130,3,SOLS,5-6,Sporadic,Quiet,6.73,6-7,Good,8,6,8,Personal,Always,1-2,Negative,No,<1,Somewhat,Yes,5,No,NA,No
131,2,SOCS,1-2,Daily study routine,No dedicated space,5.72,6-7,Fair,6,8,3,Academics,Sometimes,4+,Positive,Yes,4-6,Fully,No,9,No,NA,No
132,1,SOHST,1-2,Daily study routine,Quiet,7.35,6-7,Fair,5,8,5,Academics,Often,3-4,Positive,No,1-3,Fully,No,9,No,NA,No
133,1,SOL,5-6,Weekdays only,Quiet,9.57,4-5,Poor,8,5,8,Academics,Sometimes,3-4,Positive,Yes,1-3,Somewhat,No,5,No,NA,No
134,2,SOLS,1-2,Sporadic,Noisy,7.779999999999999,6-7,Poor,6,9,6,Academics,Sometimes,<1,Negative,Yes,1-3,Somewhat,No,9,No,NA,No
135,5,SOHST,5-6,Weekdays only,Quiet,6.93,4-5,Poor,9,3,9,Finance,Always,<1,Negative,No,<1,Not at all,No,4,No,NA,No
136,2,SOAE,1-2,Weekdays only,Quiet,4.7,8+,Fair,9,8,8,Academics,Sometimes,3-4,Positive,No,<1,Not at all,No,4,Yes,NA,No
137,3,SOB,5-6,Weekdays only,Quiet,8.219999999999999,<4,Excellent,8,7,5,Finance,Always,3-4,No effect,Yes,6+,Not at all,Yes,8,No,NA,Yes
138,4,SOCS,1-2,Daily study routine,Noisy,8.66,6-7,Fair,7,6,3,Academics,Sometimes,3-4,Positive,Yes,6+,Not at all,No,7,Yes,5-10,Yes
139,2,SOD,More than 6 hours,Weekdays only,Noisy,7.96,6-7,Good,9,9,3,Finance,Sometimes,<1,Negative,Yes,<1,Fully,Yes,4,Yes,15+,No
140,5,SOD,5-6,Weekdays only,Quiet,9.18,6-7,Poor,7,7,9,Academics,Often,<1,Maybe,Yes,6+,Somewhat,No,8,No,NA,No
141,5,SOL,1-2,Weekdays only,Noisy,7.18,<4,Fair,7,3,8,Academics,Often,3-4,Negative,Yes,4-6,Somewhat,No,6,No,NA,Yes
142,2,SOAE,3-4,Weekdays only,Noisy,8.64,6-7,Poor,7,5,5,Finance,Often,<1,No effect,No,1-3,Fully,No,7,No,NA,No
143,2,SOCS,More than 6 hours,Daily study routine,Noisy,10.0,6-7,Fair,4,8,4,Academics,Sometimes,1-2,Maybe,No,<1,Not at all,No,4,Yes,NA,Yes
144,2,SOAE,3-4,Daily study routine,Noisy,9.84,6-7,Fair,6,7,6,Academics,Often,<1,Negative,No,4-6,Not at all,No,6,Yes,NA,No
145,2,SOCS,1-2,Weekends only,Noisy,5.61,4-5,Excellent,6,9,6,Academics,Often,<1,No effect,Yes,1-3,Fully,No,8,No,NA,Yes
146,1,SOL,3-4,Daily study routine,Quiet,5.0,6-7,Good,9,4,5,Academics,Often,3-4,No effect,No,4-6,Fully,Yes,4,No,NA,Yes
147,3,SOL,3-4,Daily study routine,Quiet,6.48,6-7,Poor,9,6,4,Finance,Always,3-4,Negative,No,4-6,Somewhat,No,4,No,NA,Yes
148,3,SOD,3-4,Weekdays only,No dedicated space,7.61,6-7,Poor,7,9,3,Academics,Sometimes,1-2,Positive,No,4-6,Somewhat,No,9,No,NA,No
149,1,SOAE,3-4,Weekdays only,Quiet,6.96,6-7,Poor,4,7,9,Finance,Always,1-2,Maybe,Yes,1-3,Not at all,No,6,No,NA,No
150,2,SOLS,3-4,Sporadic,Quiet,10.0,6-7,Fair,7,6,7,Personal,Sometimes,3-4,No effect,Yes,<1,Fully,Yes,4,No,NA,Yes
151,5,SOD,1-2,Daily study routine,Noisy,6.53,4-5,Good,4,8,7,Academics,Always,1-2,Positive,Yes,<1,Fully,Yes,5,No,NA,No
152,1,SOAE,3-4,Weekdays only,Noisy,8.48,<4,Poor,7,4,9,Time Management,Often,1-2,Negative,Yes,<1,Fully,Yes,9,No,NA,Yes
153,1,SOD,3-4,Daily study routine,Quiet,7.83,4-5,Poor,5,5,5,Finance,Sometimes,4+,No effect,No,<1,Fully,Yes,9,No,NA,No
154,2,SOLS,1-2,Weekdays only,Noisy,5.98,4-5,Fair,5,9,4,Finance,Rarely,<1,Negative,No,1-3,Fully,No,4,No,NA,No
155,5,SOB,5-6,Daily study routine,Quiet,6.0,6-7,Fair,8,5,4,Finance,Sometimes,4+,Negative,Yes,1-3,Not at all,No,9,No,NA,No
156,1,SOB,3-4,Weekdays only,Quiet,7.38,6-7,Good,7,4,6,Finance,Often,<1,No effect,Yes,4-6,Somewhat,No,7,No,NA,No
157,3,SOB,3-4,Weekdays only,Quiet,10.0,4-5,Fair,9,6,3,Finance,Always,1-2,Negative,Yes,<1,Somewhat,No,6,No,NA,Yes
158,4,SOB,5-6,Weekdays only,Noisy,6.63,8+,Good,6,8,8,Academics,Sometimes,1-2,Negative,Yes,1-3,Fully,No,7,No,NA,No
159,1,SOHST,3-4,Sporadic,Quiet,5.0,<4,Good,8,7,4,Academics,Often,4+,No effect,Yes,<1,Fully,Yes,8,No,NA,No
160,4,SOCS,5-6,Daily study routine,Quiet,10.0,6-7,Poor,9,4,9,Academics,Always,1-2,No effect,No,<1,Not at all,No,7,No,NA,No
161,2,SOHST,3-4,Weekdays only,Noisy,8.61,6-7,Good,5,3,8,Academics,Sometimes,1-2,Negative,Yes,<1,Somewhat,No,5,No,NA,Yes
162,3,SOHST,1-2,Weekdays only,Quiet,6.78,4-5,Poor,7,6,7,Academics,Sometimes,4+,Negative,No,1-3,Somewhat,Yes,9,No,NA,No
163,3,SOHST,3-4,Daily study routine,Quiet,9.54,<4,Good,8,5,8,Academics,Rarely,1-2,Negative,Yes,<1,Somewhat,No,9,No,NA,No
164,3,SOB,3-4,Weekdays only,No dedicated space,6.25,6-7,Fair,7,9,3,Academics,Rarely,1-2,Maybe,Yes,1-3,Somewhat,No,5,Yes,NA,No
